Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
-1.4891,0.16817,2.8148,0.67214,1.2038,-0.12352,0.15763,0.46764,0.0075892,4.4755,0.24182,0.01838
-1.2834,0.3038,-1.9689,0.20914,-0.73137,0.6792,0.23067,0.23973,0.0048714,4.0427,0.078894,0.0088575
1.3541,0.52638,-2.9698,-0.50804,-0.52693,0.22598,0.12947,0.24343,0.019801,3.7438,0.18957,0.014294
-0.7936,-1.481,-2.9612,1.4439,1.2103,0.036241,0.12295,0.39979,0.015124,5.4284,0.36432,0.027386
-0.25043,-0.3453,2.0344,-1.3097,-0.4423,0.73532,0.065377,0.20788,0.017038,4.116,0.23943,0.026952
-1.212,1.0424,0.74233,0.063999,0.5796,-1.0982,0.018869,0.13045,0.016068,2.102,0.12014,0.04195
-0.16737,0.27123,-0.37817,-1.9141,-0.1443,-0.722,0.34638,0.41398,0.0021411,2.0772,0.28998,0.0025424
2.0421,1.0648,-1.3312,0.019883,0.75833,0.6138,0.12145,0.25622,0.01384,5.2158,0.12201,0.018122
2.1162,1.2053,2.0265,-0.44634,0.40108,0.15413,0.093234,0.23393,0.016327,4.4874,0.062759,0.021513
-2.8465,-1.2766,1.0649,0.72315,1.0716,-0.62408,0.11468,0.39718,0.019374,1.2348,0.17839,0.029521
0.1432,-1.4207,-1.9688,0.66012,0.71705,-0.488,0.20792,0.34623,0.014876,0.62133,0.11294,0.01391
-1.6377,0.77684,-1.9634,0.28605,0.09903,-0.6034,0.22421,0.47383,0.0050399,5.454,0.05165,0.0037479
1.1785,-1.2206,2.3214,-0.01652,-1.0777,-0.54539,0.21203,0.39968,0.0077537,2.0245,0.21791,0.016827
-1.5873,0.068763,1.1774,-0.61661,0.67788,0.55318,0.096959,0.23554,0.007505,4.6841,0.15135,0.020066
2.2385,-0.39529,-2.1699,0.059739,0.53843,-0.23388,0.082404,0.23106,0.012615,3.0422,0.050304,0.02205
0.2828,-0.18741,1.6808,-0.33409,-0.36668,0.46625,0.010861,0.21828,0.019248,0.030731,0.036951,0.42699
