Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
2.3531,0.65484,-2.3123,1.76,-0.86975,0.24998,0.014699,0.1404,0.019991,1.1394,0.32387,0.091943
-1.6086,-0.8477299999999999,2.2015,-0.19184,0.15759,-0.15944,0.11596,0.22723000000000002,0.019819999999999997,2.5181,0.13047,0.015177000000000001
0.5262399999999999,-1.0782,1.7931,0.6402100000000001,0.83457,1.3343,0.0508,0.1568,0.015068000000000002,5.4777,0.23548000000000002,0.022237
0.93914,-0.43076000000000003,-1.7048,-0.48166000000000003,-1.6543,-0.59664,0.32791,0.46902,0.0092693,4.2629,0.30593000000000004,0.012695999999999999
2.0008,0.9248700000000001,1.0349,-0.9232600000000001,0.43517,0.6047600000000001,0.09122899999999999,0.34823000000000004,0.019946000000000002,0.5946100000000001,0.11789000000000001,0.033696
-2.5692,-1.0679,1.5915,1.1862,-0.49704,0.38258000000000003,0.10412,0.31747,0.019996,2.997,0.16832,0.025244
0.59988,0.8965200000000001,2.0904,0.40046,-0.31761999999999996,-0.8033600000000001,0.051227999999999996,0.32108000000000003,0.016675,2.7714,0.1684,0.045626
-2.5008,-0.9999100000000001,0.51698,-0.11095999999999999,0.469,0.27998,0.097775,0.43562,0.010903,1.4083,0.035952,0.034983
-0.41334,0.14587,-1.4505,-0.43881000000000003,0.19374,-0.53466,0.46697,0.19057000000000002,0.011874,5.0807,0.054999,0.0029503
2.1945,-0.44766000000000006,-2.681,-0.38806,0.25536,0.64059,0.14519,0.28254,0.013869,5.2471,0.08801,0.016486
2.0937,-0.71212,-2.5204,0.29202,0.47957,-0.56079,0.12142,0.35827,0.016253999999999998,1.8403,0.059047,0.023946000000000002
-1.2358,0.50056,2.3254,0.29944,-0.088007,0.93027,0.11291,0.26635,0.0064389,4.6969,0.18666,0.013712
1.6855,-0.86425,-1.2011,0.39218000000000003,-0.9934299999999999,0.18244000000000002,0.19221,0.31228,0.019099,5.5096,0.20664000000000002,0.013226
2.5444,-0.53055,0.49978999999999996,-0.20575,0.25933,0.90991,0.059691999999999995,0.24491,0.010114,4.655,0.12947999999999998,0.025817000000000003
-0.56245,1.2244,0.68702,-0.65233,-0.99139,0.18274,0.16207,0.33937,0.0068926000000000005,5.0731,0.16234,0.016336
3.094,-0.96424,-0.76684,-0.1518,0.17992,1.8123,0.11173,0.22848000000000002,0.014015999999999999,4.9223,0.29917,0.017888
0.58327,0.036048000000000004,-2.9809,-0.19364,0.15624000000000002,-0.23003,0.10260999999999999,0.30359,0.019979,1.264,0.031007,0.024447
-2.8644,1.4292,-3.0185,-0.14686,0.26523,0.12382,0.1555,0.3764,0.006660300000000001,5.187,0.043104,0.017728999999999998
0.89833,0.25804,-2.1716,-0.10803,-0.30479,0.40736999999999995,0.20756999999999998,0.39492,0.019857,3.1699,0.043426,0.016038
1.1847,-0.21247,-0.8694799999999999,-0.10164,1.0524,0.5383100000000001,0.38795,0.29907,0.0027113000000000003,4.4956,0.11715999999999999,0.0067444
-0.9093399999999999,-1.1431,1.3516,-0.025580000000000002,-0.11217,0.19767,0.081332,0.27604,0.013281999999999999,1.9496,0.034668,0.029655
-2.7060000000000004,0.84603,3.011,-0.40617,-0.71011,0.13824,0.16263,0.24698,0.014572,5.127999999999999,0.11575999999999999,0.013541
-1.006,0.24134,2.6167,0.048755,0.1535,0.084714,0.12460999999999998,0.29928,0.0072289,4.727,0.084661,0.018421
0.052080999999999995,-0.97916,-1.3727,-0.76769,0.032422,-0.20069,0.32411999999999996,0.29343,0.015767,5.0151,0.072396,0.007919800000000001
-0.17769000000000001,-1.2717,1.3156,1.0442,0.87884,0.12104000000000001,0.16677999999999998,0.45882,0.012745000000000001,4.9618,0.2732,0.023527
-0.7117,-0.037446,-0.033471,0.60721,-0.050395,0.16392,0.18099,0.39111999999999997,0.019753,1.2242,0.042642,0.018357
0.2828,-0.18741,1.6808,-0.33409,-0.36668,0.46625,0.010860999999999999,0.21828000000000003,0.019247999999999998,0.030731,0.036951,0.42699
0.8961,1.0212,-0.20021,0.66527,0.91394,0.75217,0.42556000000000005,0.48651000000000005,0.0045003,5.4648,0.18300999999999998,0.0096006
-2.6715,1.0211,2.6588,0.46738999999999997,-0.85429,-1.0635,0.17557,0.28565999999999997,0.019969999999999998,3.0316,0.14115,0.014029
-2.142,1.4368,-3.141,0.27259,0.0045788,-0.6713600000000001,0.16729000000000002,0.20097,0.007187300000000001,4.6532,0.052440999999999995,0.0099149
1.2212,0.25764000000000004,2.6788,-0.84514,0.049289,-0.67232,0.09105099999999999,0.11629,0.017488999999999998,4.9875,0.25416,0.0078552
-0.4963,-0.32045999999999997,-1.4541,-0.13280999999999998,0.10086,0.46107,0.2536,0.36007,0.0034827,1.6218,0.016736,0.0081822
-1.0203,1.2124,1.1354,-0.25926,-0.50002,0.29139,0.04224,0.27047,0.011186,1.0,0.070506,0.064061
1.6782,0.42894,-2.0391,1.0218,-1.608,0.54257,0.064098,0.11375999999999999,0.018256,4.9251,0.43204,0.011931
-2.6568,-0.32653000000000004,-2.7433,0.7462,-0.54038,-0.5379,0.08281799999999999,0.38192,0.010343999999999999,4.748,0.14737,0.016708
0.36001,-0.321,2.1824,-0.33837,0.27455999999999997,-1.1578,0.034556,0.31405,0.01835,1.1482,0.11673,0.040080000000000005
2.2005,0.23876999999999998,-2.4916,-0.081687,-0.13932,-0.5797899999999999,0.12509,0.3822,0.018045,5.3999,0.12324,0.023906
2.4865,0.7283,0.51917,0.017931,-0.43405,-0.45335,0.057279,0.26003000000000004,0.018102,0.38051,0.036927999999999996,0.036742000000000004
-2.7799,0.7721399999999999,-1.1212,-0.34467,-0.34195,-0.7062,0.12822999999999998,0.43885,0.007660800000000001,5.1824,0.16992000000000002,0.0082849
0.44755,1.0566,-2.8136,0.56347,-0.75207,0.36517,0.19382,0.31137,0.013608000000000002,4.8386,0.16724,0.012881
0.40973000000000004,-1.4315,1.9479,-0.12165999999999999,-0.80161,-0.10839000000000001,0.10979000000000001,0.24693,0.010532,4.7974,0.17146,0.016942
